13	 当法律未能充分制止罪恶行为时，人民群众有权自发对罪恶行为进行制裁。

gender
M	-0.093823
F	-0.058591

age
14	 0.006994
15	 0.005130
16	 0.003888
17	 0.002968
18	 0.000143
19	 -0.009275
20	 -0.015212
21	 -0.020892
22	 -0.022618
23	 -0.019465
24	 -0.018569
25	 -0.015797
26	 -0.012304
27	 -0.008493
28	 -0.007113
29	 -0.004706
30	 -0.004372
31	 -0.003745
32	 -0.002520
33	 -0.002055
34	 -0.001320
35	 -0.000681
36	 -0.000657
37	 -0.000257
38	 -0.000263
39	 -0.000257
40	 -0.000281
41	 -0.000167
42	 0.000125
43	 -0.000269
44	 -0.000293
45	 -0.000346
46	 -0.000018
47	 -0.000460
48	 -0.000227
49	 0.000233
50	 0.000108
51	 -0.000006
52	 0.000048
53	 0.000090
54	 -0.000096

salary
0-25k	-0.052923
25k-50k	-0.015355
50k-75k	-0.019632
75k-100k	-0.019369
100k-150k	-0.021370
150k-300k	-0.014603
300k+	-0.009162

degree
初中及以下	0.012345
高中	0.009592
大学	-0.118006
研究生及以上	-0.056345
