2	 人权高于主权。

gender
M	0.122300
F	0.143073

age
14	 0.004665
15	 0.004742
16	 0.005662
17	 0.011151
18	 0.016353
19	 0.022493
20	 0.029194
21	 0.029015
22	 0.021310
23	 0.015857
24	 0.017153
25	 0.013904
26	 0.011599
27	 0.009132
28	 0.007436
29	 0.005304
30	 0.004587
31	 0.004043
32	 0.004987
33	 0.003094
34	 0.003064
35	 0.002258
36	 0.002240
37	 0.001433
38	 0.001212
39	 0.001302
40	 0.001344
41	 0.001290
42	 0.001792
43	 0.001690
44	 0.001547
45	 0.001015
46	 0.000872
47	 0.000842
48	 0.000185
49	 0.000555
50	 0.000197
51	 0.000358
52	 0.000233
53	 0.000090
54	 0.000137

salary
0-25k	0.133583
25k-50k	0.022666
50k-75k	0.021573
75k-100k	0.022726
100k-150k	0.026942
150k-300k	0.022069
300k+	0.015815

degree
初中及以下	0.010900
高中	0.038374
大学	0.168307
研究生及以上	0.047793
