3	 发生重大社会安全事件时，即使认为信息公开会导致骚乱的风险，政府仍应该开放信息传播。

gender
M	-0.080397
F	-0.073397

age
14	 -0.002401
15	 -0.003781
16	 -0.006570
17	 -0.009843
18	 -0.014531
19	 -0.022236
20	 -0.028943
21	 -0.029284
22	 -0.026118
23	 -0.016729
24	 -0.012620
25	 -0.006755
26	 -0.002843
27	 -0.000436
28	 0.000275
29	 0.001559
30	 0.001427
31	 0.002604
32	 0.002240
33	 0.001380
34	 0.002293
35	 0.001989
36	 0.001607
37	 0.001183
38	 0.001314
39	 0.001553
40	 0.001278
41	 0.001200
42	 0.001541
43	 0.001290
44	 0.001451
45	 0.000818
46	 0.000651
47	 0.000442
48	 0.000161
49	 0.000567
50	 -0.000012
51	 0.000072
52	 0.000472
53	 0.000060
54	 0.000155

salary
0-25k	-0.121052
25k-50k	-0.029319
50k-75k	-0.012268
75k-100k	-0.005190
100k-150k	0.002084
150k-300k	0.006594
300k+	0.005357

degree
初中及以下	-0.005566
高中	-0.028005
大学	-0.118556
研究生及以上	-0.001666
