4	 西方的多党制不适合中国国情。

gender
M	-0.113682
F	-0.129927

age
14	 -0.003016
15	 -0.003285
16	 -0.004360
17	 -0.007370
18	 -0.012208
19	 -0.015612
20	 -0.019369
21	 -0.019668
22	 -0.016263
23	 -0.013158
24	 -0.013647
25	 -0.013295
26	 -0.010183
27	 -0.009066
28	 -0.007472
29	 -0.006707
30	 -0.006343
31	 -0.005770
32	 -0.006086
33	 -0.003990
34	 -0.004264
35	 -0.003834
36	 -0.003386
37	 -0.002377
38	 -0.002150
39	 -0.002341
40	 -0.002210
41	 -0.002144
42	 -0.002234
43	 -0.002461
44	 -0.002795
45	 -0.002102
46	 -0.001977
47	 -0.001798
48	 -0.001248
49	 -0.001421
50	 -0.001242
51	 -0.001439
52	 -0.001039
53	 -0.000466
54	 -0.000544

salary
0-25k	-0.109752
25k-50k	-0.036875
50k-75k	-0.025891
75k-100k	-0.023084
100k-150k	-0.021543
150k-300k	-0.016317
300k+	-0.010147

degree
初中及以下	-0.009025
高中	-0.034760
大学	-0.163846
研究生及以上	-0.035979
