6	 由高校自主考试招生比全国统一考试招生更好。

gender
M	-0.043456
F	0.007400

age
14	 -0.000287
15	 -0.002078
16	 -0.003781
17	 -0.006283
18	 -0.006403
19	 -0.012775
20	 -0.017285
21	 -0.017105
22	 -0.013617
23	 -0.005835
24	 -0.003142
25	 0.000824
26	 0.002449
27	 0.003470
28	 0.002915
29	 0.002831
30	 0.003440
31	 0.003996
32	 0.004247
33	 0.002682
34	 0.002485
35	 0.002180
36	 0.002789
37	 0.001857
38	 0.001517
39	 0.001631
40	 0.001720
41	 0.001774
42	 0.001893
43	 0.001535
44	 0.001750
45	 0.000741
46	 0.000836
47	 0.000669
48	 0.000508
49	 0.000520
50	 0.000251
51	 0.000293
52	 0.000579
53	 0.000119
54	 0.000245

salary
0-25k	-0.058991
25k-50k	-0.014681
50k-75k	-0.000460
75k-100k	0.005793
100k-150k	0.010745
150k-300k	0.012722
300k+	0.008816

degree
初中及以下	-0.000412
高中	-0.012596
大学	-0.045804
研究生及以上	0.022756
