7	 应该容许宗教人士在非宗教场所公开传教。

gender
M	-0.138844
F	-0.197812

age
14	 -0.005226
15	 -0.005620
16	 -0.009192
17	 -0.013832
18	 -0.019047
19	 -0.029379
20	 -0.038852
21	 -0.040870
22	 -0.035913
23	 -0.025180
24	 -0.025389
25	 -0.017601
26	 -0.013068
27	 -0.010948
28	 -0.009263
29	 -0.006779
30	 -0.005549
31	 -0.004724
32	 -0.004031
33	 -0.003458
34	 -0.003643
35	 -0.001631
36	 -0.001374
37	 -0.001159
38	 -0.001368
39	 -0.001613
40	 -0.000920
41	 -0.000812
42	 -0.000203
43	 -0.000388
44	 0.000215
45	 -0.000036
46	 0.000245
47	 0.000376
48	 0.000084
49	 0.000173
50	 -0.000090
51	 0.000036
52	 0.000137
53	 -0.000018
54	 -0.000042

salary
0-25k	-0.172793
25k-50k	-0.072567
50k-75k	-0.040452
75k-100k	-0.022767
100k-150k	-0.017058
150k-300k	-0.007024
300k+	-0.003996

degree
初中及以下	-0.013558
高中	-0.046305
大学	-0.247689
研究生及以上	-0.029104
