1	如果人民没有受过民主教育，他们是不应该拥有普选权的。

gender
M	-0.055193
F	-0.041886

age
14	 -0.002819
15	 -0.001577
16	 0.000281
17	 0.001756
18	 0.000830
19	 0.004700
20	 0.002114
21	 -0.002747
22	 -0.004688
23	 -0.006845
24	 -0.004736
25	 -0.006229
26	 -0.006725
27	 -0.006223
28	 -0.005184
29	 -0.004414
30	 -0.004026
31	 -0.004748
32	 -0.004318
33	 -0.002538
34	 -0.003458
35	 -0.003016
36	 -0.002252
37	 -0.002461
38	 -0.002287
39	 -0.002252
40	 -0.002096
41	 -0.002078
42	 -0.001941
43	 -0.002341
44	 -0.002437
45	 -0.001547
46	 -0.001224
47	 -0.001218
48	 -0.000974
49	 -0.001129
50	 -0.000968
51	 -0.000938
52	 -0.000920
53	 -0.000370
54	 -0.000472

salary
0-25k	-0.030633
25k-50k	-0.025180
50k-75k	-0.013809
75k-100k	-0.010094
100k-150k	-0.008744
150k-300k	-0.004587
300k+	-0.004031

degree
初中及以下	-0.007567
高中	-0.008117
大学	-0.067466
研究生及以上	-0.013928
