10	 哪怕经历了违反程序规定的审讯和取证过程，确实有罪的罪犯也应被处刑。

gender
M	0.068117
F	0.021298

age
14	 0.005859
15	 0.006253
16	 0.008726
17	 0.011533
18	 0.013325
19	 0.017058
20	 0.017715
21	 0.014854
22	 0.010822
23	 0.005990
24	 0.002897
25	 -0.000137
26	 -0.000920
27	 -0.001451
28	 -0.003518
29	 -0.002891
30	 -0.002102
31	 -0.003518
32	 -0.003082
33	 -0.002043
34	 -0.002228
35	 -0.000950
36	 -0.001105
37	 -0.000860
38	 -0.000878
39	 -0.000591
40	 -0.000633
41	 -0.000406
42	 -0.000466
43	 -0.000143
44	 -0.000048
45	 0.000048
46	 0.000161
47	 0.000078
48	 0.000179
49	 0.000072
50	 0.000239
51	 0.000233
52	 0.000000
53	 0.000167
54	 0.000137

salary
0-25k	0.090556
25k-50k	0.002777
50k-75k	-0.000317
75k-100k	0.000478
100k-150k	-0.000328
150k-300k	-0.002497
300k+	-0.001254

degree
初中及以下	0.009335
高中	0.029367
大学	0.049280
研究生及以上	0.001433
