11	 国家有义务进行对外援助。

gender
M	0.125442
F	-0.009275

age
14	 0.005262
15	 0.006325
16	 0.009156
17	 0.012274
18	 0.016210
19	 0.022039
20	 0.026936
21	 0.023186
22	 0.013964
23	 0.008153
24	 0.007436
25	 0.004294
26	 0.001559
27	 0.000824
28	 -0.001493
29	 -0.001380
30	 -0.001750
31	 -0.002873
32	 -0.002759
33	 -0.002234
34	 -0.002335
35	 -0.002431
36	 -0.002473
37	 -0.001762
38	 -0.001547
39	 -0.001720
40	 -0.001756
41	 -0.001577
42	 -0.001654
43	 -0.001762
44	 -0.001672
45	 -0.001296
46	 -0.001410
47	 -0.000902
48	 -0.000585
49	 -0.000735
50	 -0.000597
51	 -0.000890
52	 -0.000627
53	 -0.000131
54	 -0.000257

salary
0-25k	0.109537
25k-50k	0.033249
50k-75k	0.006695
75k-100k	-0.002753
100k-150k	-0.009198
150k-300k	-0.011856
300k+	-0.009508

degree
初中及以下	0.010775
高中	0.039747
大学	0.094504
研究生及以上	-0.028859
