12	 国家领导人及开国领袖的形象可以作为文艺作品的丑化对象。

gender
M	0.095036
F	0.269154

age
14	 -0.000358
15	 0.000376
16	 0.003136
17	 0.009437
18	 0.015827
19	 0.027259
20	 0.038129
21	 0.039323
22	 0.036265
23	 0.027641
24	 0.032455
25	 0.024900
26	 0.019494
27	 0.015499
28	 0.011647
29	 0.010763
30	 0.008654
31	 0.008188
32	 0.007669
33	 0.004790
34	 0.004629
35	 0.003446
36	 0.002598
37	 0.001905
38	 0.001857
39	 0.001654
40	 0.001427
41	 0.001433
42	 0.001433
43	 0.001696
44	 0.000812
45	 0.000645
46	 0.000466
47	 0.000526
48	 0.000072
49	 0.000090
50	 0.000042
51	 -0.000161
52	 -0.000066
53	 -0.000048
54	 -0.000006

salary
0-25k	0.151136
25k-50k	0.031332
50k-75k	0.037741
75k-100k	0.038870
100k-150k	0.045893
150k-300k	0.034085
300k+	0.025133

degree
初中及以下	0.001260
高中	0.028089
大学	0.243394
研究生及以上	0.091446
