5	 在中国照搬西方式的言论自由会导致社会失序。

gender
M	0.080128
F	0.118161

age
14	 -0.003124
15	 -0.004175
16	 -0.003834
17	 -0.004844
18	 0.001714
19	 0.011575
20	 0.022433
21	 0.027235
22	 0.027934
23	 0.021436
24	 0.021465
25	 0.015320
26	 0.012841
27	 0.008087
28	 0.006845
29	 0.005686
30	 0.004587
31	 0.004091
32	 0.003022
33	 0.001899
34	 0.002156
35	 0.001714
36	 0.001057
37	 0.001457
38	 0.000985
39	 0.001087
40	 0.000806
41	 0.000651
42	 0.000806
43	 0.001093
44	 0.000932
45	 0.000956
46	 0.000717
47	 0.000352
48	 0.000394
49	 0.000526
50	 0.000669
51	 0.000334
52	 0.000275
53	 0.000113
54	 0.000143

salary
0-25k	0.074132
25k-50k	0.035991
50k-75k	0.030848
75k-100k	0.023848
100k-150k	0.019936
150k-300k	0.008738
300k+	0.004796

degree
初中及以下	-0.006952
高中	-0.012620
大学	0.157646
研究生及以上	0.060215
