8	 无论中小学生或大学生，都应参加由国家统一安排的军训。

gender
M	-0.049698
F	-0.016347

age
14	 0.001421
15	 0.001344
16	 0.000508
17	 -0.003201
18	 -0.009102
19	 -0.015290
20	 -0.017207
21	 -0.011647
22	 -0.006128
23	 -0.002341
24	 -0.002293
25	 0.001027
26	 0.000000
27	 0.000788
28	 0.000896
29	 0.000334
30	 -0.000221
31	 -0.001451
32	 -0.000538
33	 0.000185
34	 -0.001356
35	 -0.000651
36	 -0.000102
37	 -0.000251
38	 -0.000597
39	 -0.000490
40	 -0.000394
41	 -0.000346
42	 -0.000364
43	 0.000030
44	 -0.000113
45	 -0.000179
46	 0.000179
47	 0.000352
48	 0.000143
49	 0.000239
50	 0.000209
51	 0.000281
52	 -0.000090
53	 -0.000054
54	 0.000024

salary
0-25k	-0.043468
25k-50k	0.021878
50k-75k	0.002771
75k-100k	-0.006122
100k-150k	-0.013402
150k-300k	-0.014776
300k+	-0.012925

degree
初中及以下	0.004008
高中	-0.001368
大学	-0.033972
研究生及以上	-0.034713
